state,patient,population,percent
Selangor,242464,6538000,3.70853472
Johor,240445,3781000,6.359296482
Perak,183734,2510300,7.319204876
Sarawak,171093,2816500,6.07466714
Kedah,158193,2185100,7.239622901
Negeri Sembilan,113985,1128800,10.09789157
Pahang,99472,1678700,5.925537618
Pulau Pinang,92842,1773600,5.23466396
Melaka,93647,932700,10.04042029
Kuala Lumpur,69630,1773700,3.925692056
Kelantan,66320,1906700,3.47826087
Terrengganu,70127,1259300,5.568728659
Sabah,52447,3908500,1.341870283
Perlis,31265,254900,12.26559435
Putrajaya,8716,110000,7.923636364
Labuan,4303,99600,4.320281124
