Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States of America,Americas,41831507,12637.82,891358,269.29,0,669412,202.24,13269,4.01,0
India,South-East Asia,33504534,2427.86,214955,15.58,26115,445385,32.27,2172,0.16,252
Brazil,Americas,21239783,9992.4,240004,112.91,9458,590752,277.92,3901,1.84,244
The United Kingdom,Europe,7465452,10997.04,208889,307.71,35702,135252,199.23,991,1.46,49
Russian Federation,Europe,7313851,5011.74,137766,94.4,19179,199808,136.92,5559,3.81,812
Turkey,Europe,6874947,8151.56,192083,227.75,27688,61805,73.28,1688,2,231
France,Europe,6746400,10372.8,45626,70.15,180,113909,175.14,363,0.56,20
Iran (Islamic Republic of),Eastern Mediterranean,5442232,6479.39,123905,147.52,17397,117526,139.92,2767,3.29,344
Argentina,Americas,5239232,11592.31,14698,32.52,622,114428,253.18,1026,2.27,61
Colombia,Americas,4941064,9710.66,10815,21.25,1813,125895,247.42,248,0.49,35
Spain,Europe,4935534,10427.34,16362,34.57,546,85901,181.48,168,0.35,6
Italy,Europe,4638516,7777.33,29311,49.15,2405,130354,218.56,399,0.67,44
Indonesia,South-East Asia,4195958,1534.04,21742,7.95,3263,140805,51.48,1390,0.51,171
Germany,Europe,4150516,4990.6,61040,73.39,4664,93052,111.89,366,0.44,81
Mexico,Americas,3569677,2768.63,57795,44.83,4983,271503,210.58,3755,2.91,200
Poland,Europe,2899008,7637.38,4553,11.99,709,75503,198.91,70,0.18,15
South Africa,Africa,2884134,4862.92,23299,39.28,1504,86216,145.37,1214,2.05,42
Philippines,Western Pacific,2385616,2177.03,137606,125.57,18937,36934,33.7,1627,1.48,146
Ukraine,Europe,2355805,5386.7,34649,79.23,5159,55056,125.89,599,1.37,137
Peru,Americas,2167008,6572.3,5922,17.96,589,199006,603.56,242,0.73,30
Malaysia,Western Pacific,2112175,6525.91,116404,359.65,14345,23744,73.36,2620,8.09,301
Netherlands,Europe,1986241,11410.2,13687,78.63,1370,18123,104.11,50,0.29,9
Iraq,Eastern Mediterranean,1978412,4918.67,23443,58.28,3192,21869,54.37,319,0.79,47
Czechia,Europe,1686851,15773.9,3041,28.44,489,30442,284.67,16,0.15,4
Japan,Western Pacific,1679116,1327.61,34673,27.41,2405,17233,13.63,387,0.31,29
Chile,Americas,1647746,8619.63,3206,16.77,277,37367,195.47,114,0.6,8
Canada,Americas,1569186,4157.65,21999,58.29,0,27370,72.52,172,0.46,0
Bangladesh,South-East Asia,1545800,938.62,11360,6.9,1562,27277,16.56,270,0.16,26
Thailand,South-East Asia,1500105,2149.15,93563,134.04,10919,15612,22.37,991,1.42,143
Israel,Europe,1227972,14187.12,40445,467.27,0,7541,87.12,108,1.25,0
Pakistan,Eastern Mediterranean,1226008,555.03,18500,8.38,2167,27246,12.33,459,0.21,40
Belgium,Europe,1224885,10630.43,11094,96.28,4,25517,221.45,36,0.31,1
Romania,Europe,1158841,5995.4,32259,166.9,6789,35721,184.81,589,3.05,129
Sweden,Europe,1144982,11086.63,5439,52.66,0,14775,143.06,7,0.07,0
Portugal,Europe,1062354,10318.21,6312,61.31,306,17914,173.99,48,0.47,7
Kazakhstan,Europe,936954,4989.98,18746,99.84,0,15503,82.57,472,2.51,0
Morocco,Eastern Mediterranean,920374,2493.52,15727,42.61,2248,13958,37.82,412,1.12,82
Serbia,Europe,872110,12590.55,48949,706.67,6424,7808,112.72,233,3.36,38
Switzerland,Europe,823582,9516.1,9551,110.36,4,10576,122.2,20,0.23,0
Hungary,Europe,818520,8378.3,2669,27.32,289,30141,308.52,39,0.4,5
Jordan,Eastern Mediterranean,814676,7984.57,7292,71.47,1075,10624,104.12,76,0.74,8
Cuba,Americas,809911,7150.51,56367,497.65,8544,6856,60.53,483,4.26,60
Nepal,South-East Asia,786577,2699.6,7085,24.32,1036,11053,37.93,69,0.24,5
United Arab Emirates,Eastern Mediterranean,733003,7411.26,3485,35.24,313,2077,21,13,0.13,2
Austria,Europe,721832,8109.5,13957,156.8,1162,10678,119.96,51,0.57,7
