id,state
1,Selangor
2,Selangor
3,Selangor
4,Selangor
5,Selangor
6,Selangor
7,Selangor
8,Selangor
9,Selangor
10,Selangor
11,Selangor
12,Selangor
13,Selangor
14,Selangor
15,Johor
16,Johor
17,Johor
18,Johor
19,Johor
20,Johor
21,Johor
22,Johor
23,Johor
24,Johor
25,Johor
26,Johor
27,Johor
28,Johor
29,Perak
30,Perak
31,Perak
32,Perak
33,Perak
34,Perak
35,Perak
36,Perak
37,Perak
38,Perak
39,Sarawak
40,Sarawak
41,Sarawak
42,Sarawak
43,Sarawak
44,Sarawak
45,Sarawak
46,Sarawak
47,Sarawak
48,Sarawak
49,Kedah
50,Kedah
51,Kedah
52,Kedah
53,Kedah
54,Kedah
55,Kedah
56,Kedah
57,Kedah
58,Negeri Sembilan
59,Negeri Sembilan
60,Negeri Sembilan
61,Negeri Sembilan
62,Negeri Sembilan
63,Negeri Sembilan
64,Melaka
65,Melaka
66,Melaka
67,Melaka
68,Melaka
69,Pulau Pinang
70,Pulau Pinang
71,Pulau Pinang
72,Pulau Pinang
73,Pulau Pinang
74,Others
75,Others
76,Others
77,Others
78,Others
79,Others
80,Others
81,Others
82,Others
83,Others
84,Others
85,Others
86,Others
87,Others
88,Others
89,Others
90,Others
91,Others
92,Others
93,Others
94,Others
95,Others
96,Others
97,Others
98,Others
99,Others
100,Others
